                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                  1.184,                0.77288,                 1.3544,                0.95923,                0.94828,                0.96674,                0.59783,                 1.3773,                0.56405,                 1.5376,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.1599,                0.77845,                  1.324,                0.91225,                 0.9569,                0.96483,                0.59486,                 1.3705,                0.56112,                 1.4935,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.1594,                0.78489,                 1.3344,                0.94358,                0.96552,                0.97787,                0.61391,                   1.33,                0.53854,                 1.4452,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.1673,                0.75935,                 1.3225,                0.93343,                0.93966,                0.96843,                0.59881,                 1.3801,                0.57933,                 1.5089,               0.000614,               0.000614,               0.000614
                     73,                 1.1739,                0.80483,                 1.3458,                0.92613,                0.94828,                0.96088,                0.57365,                 1.4334,                0.60631,                 1.5466,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.1158,                 0.7538,                 1.2915,                0.97825,                 0.9569,                0.97928,                0.61687,                 1.3642,                0.54313,                  1.489,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.1427,                0.78972,                 1.3086,                0.95655,                0.96552,                0.97379,                0.62118,                  1.331,                0.52775,                 1.4568,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.1072,                 0.7392,                 1.2788,                0.95668,                0.95188,                0.96408,                0.60279,                 1.3775,                0.56579,                 1.5136,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.1244,                0.72934,                 1.3005,                0.98244,                 0.9647,                0.97709,                0.61227,                 1.3433,                0.53083,                 1.4491,               0.000515,               0.000515,               0.000515
                     78,                 1.1388,                0.74598,                 1.3201,                0.97367,                 0.9562,                0.96417,                0.60163,                 1.3606,                0.54349,                 1.4366,              0.0004952,              0.0004952,              0.0004952
                     79,                   1.09,                0.77894,                 1.2906,                0.97196,                0.97414,                0.97472,                0.60924,                 1.3585,                0.56043,                 1.4781,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.0631,                0.72585,                 1.2715,                0.95761,                0.97382,                0.97146,                0.60005,                 1.3611,                0.53174,                 1.4851,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.1123,                 0.7369,                 1.2986,                0.94664,                0.93966,                0.96398,                0.57268,                 1.4192,                0.56962,                 1.5021,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.0825,                0.72856,                 1.2853,                0.93224,                0.97414,                 0.9764,                0.60667,                 1.3426,                0.52458,                  1.483,               0.000416,               0.000416,               0.000416
                     83,                 1.0841,                0.73036,                 1.2643,                0.94754,                0.98276,                0.98562,                0.59515,                  1.383,                0.54791,                 1.5217,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.0561,                0.73583,                 1.2667,                 0.9548,                0.98276,                0.97686,                0.60744,                 1.3353,                0.54778,                  1.455,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.0885,                0.76189,                 1.2941,                0.95521,                0.97414,                0.97372,                0.61747,                 1.3159,                0.53062,                 1.4517,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.0585,                0.70264,                 1.2511,                0.95757,                0.97286,                0.97418,                0.61145,                 1.3129,                0.54288,                 1.4725,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.0179,                0.68358,                 1.2382,                0.97387,                0.96393,                0.97708,                0.61597,                 1.3497,                0.52181,                 1.4908,               0.000317,               0.000317,               0.000317
                     88,                 1.1014,                0.73791,                 1.2993,                0.96261,                 0.9569,                 0.9772,                0.61992,                 1.3429,                0.53748,                  1.493,              0.0002972,              0.0002972,              0.0002972
                     89,                 0.9946,                0.65948,                 1.2074,                0.97336,                0.94504,                0.97547,                0.59927,                   1.38,                0.53468,                 1.4911,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.0281,                0.70008,                 1.2559,                0.94157,                0.98276,                 0.9789,                0.61157,                 1.3468,                0.51385,                 1.4913,              0.0002576,              0.0002576,              0.0002576
                     91,                0.94415,                0.49247,                 1.1913,                0.93854,                0.97414,                0.97619,                0.58609,                 1.4102,                0.53067,                 1.5003,              0.0002378,              0.0002378,              0.0002378
                     92,                0.85262,                0.44503,                 1.1419,                0.96541,                 0.9625,                 0.9779,                0.61326,                 1.3326,                0.50875,                 1.4662,               0.000218,               0.000218,               0.000218
                     93,                0.88963,                0.44691,                 1.1656,                0.96576,                0.97265,                 0.9802,                0.61405,                 1.3444,                0.51764,                 1.4894,              0.0001982,              0.0001982,              0.0001982
                     94,                 0.8716,                0.45374,                 1.1609,                 0.9739,                 0.9652,                0.97468,                0.59993,                  1.365,                 0.5494,                  1.517,              0.0001784,              0.0001784,              0.0001784
                     95,                0.86831,                0.43115,                  1.138,                0.96455,                0.96552,                0.97048,                0.60936,                 1.3254,                0.54166,                 1.4904,              0.0001586,              0.0001586,              0.0001586
                     96,                0.82578,                0.42903,                 1.1298,                0.95723,                0.96464,                0.96755,                0.61571,                 1.3255,                0.51477,                 1.4877,              0.0001388,              0.0001388,              0.0001388
                     97,                0.81041,                0.40974,                 1.1036,                0.95539,                 0.9569,                0.96728,                0.61908,                 1.3522,                0.53315,                 1.5156,               0.000119,               0.000119,               0.000119
                     98,                0.81073,                0.41927,                 1.1365,                0.95475,                 0.9569,                0.96271,                0.60411,                 1.3705,                0.53915,                  1.545,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.79275,                0.41382,                 1.1056,                0.95427,                 0.9569,                 0.9618,                0.61713,                 1.3399,                0.52911,                 1.5144,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.79768,                0.40947,                 1.0932,                 0.9652,                0.95653,                0.96403,                0.62524,                  1.329,                0.52218,                 1.5068,               5.96e-05,               5.96e-05,               5.96e-05
